epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,583.736,1.57754,1.07753,1.32772,0.78462,0.79691,0.87847,0.44706,1.12853,0.92239,1.01224,0.0015941,0.0015941,0.0015941
43,596.829,1.58314,1.05137,1.34641,0.8028,0.80576,0.84214,0.46969,1.08174,1.00105,0.99037,0.0015842,0.0015842,0.0015842
44,612.036,1.5571,1.06615,1.32014,0.91123,0.73958,0.85507,0.42875,1.23307,0.85334,1.07634,0.0015743,0.0015743,0.0015743
45,625.269,1.56139,1.05082,1.33749,0.74465,0.82021,0.86442,0.47051,1.07246,0.78814,0.96093,0.0015644,0.0015644,0.0015644
46,638.276,1.56528,1.02766,1.31021,0.89443,0.79431,0.86471,0.44373,1.19095,0.77394,1.0217,0.0015545,0.0015545,0.0015545
47,651.214,1.56888,1.04959,1.33546,0.76677,0.7877,0.84507,0.42975,1.21573,0.94944,1.04829,0.0015446,0.0015446,0.0015446
48,664.139,1.5456,1.01715,1.30669,0.82977,0.71086,0.85065,0.4219,1.18945,0.93764,1.01884,0.0015347,0.0015347,0.0015347
49,676.987,1.53962,1.03898,1.30859,0.8419,0.7766,0.873,0.47365,1.11005,0.78726,0.96251,0.0015248,0.0015248,0.0015248
50,690.001,1.5469,1.0613,1.31607,0.8431,0.78365,0.84303,0.42623,1.19387,1.16177,1.03365,0.0015149,0.0015149,0.0015149
51,702.96,1.5187,0.97905,1.30858,0.83881,0.80208,0.86815,0.44308,1.23987,1.08222,1.06707,0.001505,0.001505,0.001505
52,715.882,1.49745,0.99232,1.28811,0.81153,0.82292,0.89271,0.48743,1.15812,0.90296,0.99944,0.0014951,0.0014951,0.0014951
53,729.207,1.53731,0.99423,1.30645,0.87864,0.77083,0.86468,0.43226,1.21096,1.22079,1.02968,0.0014852,0.0014852,0.0014852
54,743.425,1.50996,0.99988,1.29538,0.84756,0.76042,0.85478,0.45113,1.18449,0.8319,0.99696,0.0014753,0.0014753,0.0014753
55,757.225,1.5405,0.99148,1.30358,0.81296,0.815,0.87612,0.42884,1.28737,0.76556,1.09696,0.0014654,0.0014654,0.0014654
56,771.087,1.54059,1.00107,1.31335,0.75218,0.79044,0.83161,0.44719,1.14468,1.33986,1.00271,0.0014555,0.0014555,0.0014555
57,785.206,1.50451,0.97639,1.28976,0.83374,0.78357,0.86575,0.49188,1.09326,0.74579,0.97403,0.0014456,0.0014456,0.0014456
58,799.204,1.52463,0.99107,1.30412,0.85304,0.78606,0.83728,0.43489,1.17267,0.74916,1.01411,0.0014357,0.0014357,0.0014357
59,812.813,1.49694,0.95698,1.29259,0.81405,0.77525,0.83166,0.43263,1.14818,1.07539,1.01015,0.0014258,0.0014258,0.0014258
60,827.235,1.46042,0.92609,1.26941,0.80563,0.80208,0.84478,0.45875,1.14095,0.65156,1.00576,0.0014159,0.0014159,0.0014159
61,841.517,1.49421,0.94431,1.29361,0.79305,0.8125,0.84351,0.46589,1.09681,0.73856,0.99597,0.001406,0.001406,0.001406
62,855.283,1.48489,0.94218,1.2788,0.82135,0.78125,0.82632,0.4953,1.0403,0.75719,0.9603,0.0013961,0.0013961,0.0013961
63,868.425,1.47273,0.93531,1.29009,0.83703,0.83333,0.87325,0.48309,1.1185,0.64708,1.01171,0.0013862,0.0013862,0.0013862
64,881.56,1.48972,0.94425,1.30425,0.82057,0.80208,0.87231,0.46423,1.15824,0.767,1.01889,0.0013763,0.0013763,0.0013763
65,895.078,1.4471,0.90573,1.27677,0.85855,0.79167,0.86994,0.47043,1.12302,1.15587,1.03902,0.0013664,0.0013664,0.0013664
66,908.447,1.44197,0.90215,1.26845,0.83769,0.83333,0.86941,0.47996,1.13601,0.75525,1.00834,0.0013565,0.0013565,0.0013565
67,921.711,1.447,0.91532,1.29152,0.83418,0.78608,0.85518,0.48454,1.10504,0.84269,1.00374,0.0013466,0.0013466,0.0013466
