epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.15,1.06487,0.75116,0.94827,0.84789,0.9161,0.92701,0.60608,0.63872,4.92252,0.50659,0.00091175,0.00091175,0.00091175
43,317.16,1.03259,0.71777,0.95448,0.85959,0.9222,0.887,0.58837,0.66434,5.14744,0.51607,0.0009035,0.0009035,0.0009035
44,324.193,1.10913,0.75115,0.96835,0.84718,0.95858,0.88836,0.58362,0.65753,5.03426,0.52876,0.00089525,0.00089525,0.00089525
45,331.161,1.05638,0.73439,0.93508,0.84269,0.95877,0.90939,0.59555,0.638,5.35755,0.52201,0.000887,0.000887,0.000887
46,338.378,1.10625,0.76743,0.95093,0.86627,0.94266,0.91893,0.56972,0.69809,3.8348,0.52891,0.00087875,0.00087875,0.00087875
47,345.657,1.07194,0.74812,0.9554,0.86765,0.96437,0.90904,0.58635,0.67085,3.98128,0.52075,0.0008705,0.0008705,0.0008705
48,352.754,1.07549,0.76317,0.95503,0.84482,0.94579,0.89476,0.55156,0.74011,5.74616,0.55187,0.00086225,0.00086225,0.00086225
49,359.829,1.13827,0.73926,0.9789,0.85295,0.95159,0.90052,0.57129,0.65072,5.85262,0.51291,0.000854,0.000854,0.000854
50,366.773,1.1305,0.76909,0.99624,0.85208,0.92681,0.89379,0.56907,0.68302,3.6587,0.5299,0.00084575,0.00084575,0.00084575
51,373.803,1.10571,0.7448,0.95784,0.85988,0.93705,0.87873,0.57014,0.68993,3.50013,0.53521,0.0008375,0.0008375,0.0008375
52,380.83,1.04904,0.71722,0.9539,0.88642,0.95767,0.90517,0.57612,0.66729,4.29722,0.5175,0.00082925,0.00082925,0.00082925
53,387.902,1.04183,0.69465,0.94862,0.8913,0.93837,0.90409,0.58743,0.67628,3.52581,0.51949,0.000821,0.000821,0.000821
54,395.002,1.03748,0.69003,0.93074,0.86595,0.96746,0.90879,0.58582,0.66265,4.5638,0.51804,0.00081275,0.00081275,0.00081275
55,402.08,0.99941,0.69813,0.95283,0.88697,0.92818,0.91261,0.5908,0.67156,3.45279,0.51646,0.0008045,0.0008045,0.0008045
56,409.067,1.01595,0.67945,0.93061,0.8883,0.9561,0.92182,0.57604,0.68207,2.88177,0.518,0.00079625,0.00079625,0.00079625
57,416.053,1.01756,0.66129,0.94068,0.86545,0.95,0.92657,0.62161,0.62972,2.92674,0.51103,0.000788,0.000788,0.000788
58,423.138,1.06084,0.69659,0.97869,0.84463,0.94469,0.92424,0.60883,0.64104,3.15711,0.5173,0.00077975,0.00077975,0.00077975
59,430.269,0.96056,0.66161,0.92336,0.8819,0.9687,0.92997,0.60118,0.67985,2.93116,0.52731,0.0007715,0.0007715,0.0007715
60,437.413,1.02196,0.67826,0.9658,0.88023,0.97393,0.92331,0.58979,0.65804,3.04242,0.51773,0.00076325,0.00076325,0.00076325
61,444.503,1.02434,0.67326,0.94017,0.86822,0.96284,0.92262,0.62838,0.62017,3.05131,0.50564,0.000755,0.000755,0.000755
62,451.991,1.05047,0.6578,0.93982,0.87911,0.93413,0.91833,0.61245,0.62337,3.79534,0.5127,0.00074675,0.00074675,0.00074675
63,459.161,1.03046,0.66943,0.93791,0.89606,0.96514,0.94032,0.61138,0.65871,3.61358,0.51748,0.0007385,0.0007385,0.0007385
64,466.185,1.05424,0.66774,0.95189,0.90095,0.98333,0.94012,0.62926,0.60029,3.25792,0.50162,0.00073025,0.00073025,0.00073025
65,473.2,0.97234,0.639,0.93073,0.90361,0.97344,0.94014,0.59927,0.68568,2.6574,0.52309,0.000722,0.000722,0.000722
66,480.199,1.04613,0.66371,0.95695,0.89769,0.95086,0.92368,0.60165,0.65532,2.92435,0.51596,0.00071375,0.00071375,0.00071375
67,487.326,1.04748,0.65043,0.95243,0.90277,0.9592,0.93396,0.60331,0.67518,2.74151,0.52935,0.0007055,0.0007055,0.0007055
68,494.369,0.96552,0.60842,0.90855,0.87807,0.95374,0.92542,0.61001,0.64321,2.70455,0.50936,0.00069725,0.00069725,0.00069725
69,501.448,1.02855,0.62864,0.93439,0.8882,0.94038,0.9106,0.61498,0.64425,2.60123,0.52577,0.000689,0.000689,0.000689
70,508.639,0.95922,0.60814,0.92635,0.88866,0.97089,0.9221,0.60034,0.69341,2.77322,0.53206,0.00068075,0.00068075,0.00068075
71,515.721,0.98845,0.63505,0.93776,0.88246,0.931,0.90466,0.55374,0.7351,2.34384,0.5444,0.0006725,0.0006725,0.0006725
72,523.134,1.00327,0.63374,0.93197,0.88815,0.95646,0.91921,0.58815,0.67059,2.19717,0.53068,0.00066425,0.00066425,0.00066425
73,530.296,0.96522,0.61871,0.92766,0.87367,0.92435,0.90499,0.59727,0.65089,2.18329,0.51289,0.000656,0.000656,0.000656
74,537.37,0.97267,0.62559,0.91524,0.87153,0.94775,0.90658,0.60206,0.6566,2.06474,0.50978,0.00064775,0.00064775,0.00064775
75,544.431,0.93704,0.61817,0.92564,0.87501,0.9823,0.93073,0.59864,0.66048,1.92815,0.51714,0.0006395,0.0006395,0.0006395
76,551.777,0.92368,0.59522,0.9193,0.88421,0.94929,0.91182,0.58702,0.65779,2.00846,0.51547,0.00063125,0.00063125,0.00063125
77,559.369,0.89988,0.59467,0.9096,0.86035,0.9313,0.91607,0.60121,0.6633,3.10375,0.53383,0.000623,0.000623,0.000623
78,566.636,0.94879,0.60348,0.90956,0.87194,0.93816,0.91751,0.59541,0.69047,2.93946,0.52237,0.00061475,0.00061475,0.00061475
79,573.844,1.01092,0.61591,0.9297,0.89351,0.96241,0.942,0.64389,0.6153,1.84468,0.51742,0.0006065,0.0006065,0.0006065
80,580.895,1.0234,0.6302,0.93663,0.89677,0.95534,0.92477,0.62601,0.65342,1.7025,0.5262,0.00059825,0.00059825,0.00059825
81,588.011,0.99829,0.58855,0.91628,0.89711,0.953,0.90993,0.65517,0.58321,1.92343,0.50774,0.00059,0.00059,0.00059
82,595.102,0.98524,0.58872,0.92304,0.90484,0.96437,0.92695,0.63215,0.60953,1.92172,0.50506,0.00058175,0.00058175,0.00058175
83,602.148,0.90906,0.60302,0.90154,0.90055,0.94315,0.91782,0.62303,0.6308,1.80568,0.50377,0.0005735,0.0005735,0.0005735
84,609.222,0.89561,0.56979,0.90255,0.86197,0.94612,0.92255,0.63251,0.63854,1.96432,0.51123,0.00056525,0.00056525,0.00056525
85,616.249,0.91937,0.56794,0.8969,0.90389,0.95639,0.92982,0.62688,0.63659,1.63366,0.51151,0.000557,0.000557,0.000557
86,623.343,0.91095,0.57577,0.907,0.89644,0.9514,0.92673,0.62885,0.63703,1.55811,0.51426,0.00054875,0.00054875,0.00054875
87,631.298,0.93807,0.57385,0.91563,0.90536,0.95262,0.93718,0.64441,0.62022,1.59894,0.50427,0.0005405,0.0005405,0.0005405
88,639.7,0.8921,0.56227,0.8935,0.9175,0.9698,0.94816,0.64313,0.61108,1.85391,0.50222,0.00053225,0.00053225,0.00053225
89,647.565,0.92391,0.5871,0.91822,0.89924,0.95654,0.93264,0.62719,0.61729,1.75796,0.50378,0.000524,0.000524,0.000524
90,655.732,0.91918,0.56693,0.89687,0.87894,0.96669,0.92683,0.61282,0.6525,1.75686,0.51198,0.00051575,0.00051575,0.00051575
91,663.385,0.92168,0.57286,0.91553,0.88313,0.96387,0.93379,0.61192,0.64673,1.87731,0.50697,0.0005075,0.0005075,0.0005075
92,670.757,0.87737,0.5509,0.89118,0.88438,0.95556,0.91297,0.61568,0.63119,1.76309,0.50254,0.00049925,0.00049925,0.00049925
93,678.177,0.8867,0.5457,0.90515,0.8783,0.93831,0.91122,0.59198,0.67595,1.63846,0.51917,0.000491,0.000491,0.000491
