epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,196.893,1.62879,0.94178,1.14782,1,0.62663,0.71222,0.37876,1.79568,1.18987,1.09379,0.0015743,0.0015743,0.0015743
45,201.188,1.6162,0.95033,1.08917,0.79466,0.42857,0.48736,0.24741,1.93765,1.47341,1.29764,0.0015644,0.0015644,0.0015644
46,205.591,1.65744,1.00693,1.13858,0.83787,0.55417,0.56917,0.24871,2.03484,1.51996,1.34913,0.0015545,0.0015545,0.0015545
47,210.003,1.7154,1.04018,1.18828,0.71734,0.67857,0.68526,0.31769,1.84635,1.44586,1.10136,0.0015446,0.0015446,0.0015446
48,214.477,1.68779,0.99837,1.1227,0.82871,0.53571,0.6451,0.3428,1.80659,1.48246,1.11088,0.0015347,0.0015347,0.0015347
49,218.842,1.65949,0.97308,1.14061,0.87065,0.78571,0.82039,0.3612,1.83282,1.37618,1.09913,0.0015248,0.0015248,0.0015248
50,223.291,1.52795,0.93406,1.06375,0.91176,0.73839,0.82131,0.42837,1.58447,1.21422,1.05653,0.0015149,0.0015149,0.0015149
51,227.66,1.62138,1.09662,1.12869,0.59284,0.28571,0.33203,0.13122,2.32632,1.77332,1.48063,0.001505,0.001505,0.001505
52,232.031,1.74435,1.09591,1.19237,0.69616,0.28571,0.30429,0.14781,2.31614,2.27545,1.52229,0.0014951,0.0014951,0.0014951
53,236.369,1.58376,0.95158,1.02731,0.26049,0.07143,0.09087,0.04068,3.31259,2.91606,2.32696,0.0014852,0.0014852,0.0014852
54,240.739,1.51729,0.95551,1.07129,0,0,0,0,5.50399,10.4509,5.54049,0.0014753,0.0014753,0.0014753
55,245.065,1.60213,0.88288,1.12025,0.86085,0.884,0.88236,0.40984,1.60413,0.90876,1.08876,0.0014654,0.0014654,0.0014654
56,249.461,1.59685,0.88101,1.10068,1,0.32104,0.3466,0.20469,2.125,3.34268,1.4268,0.0014555,0.0014555,0.0014555
57,253.955,1.56062,0.9461,1.10802,0.94078,0.56754,0.73908,0.38344,1.79919,1.39471,1.12287,0.0014456,0.0014456,0.0014456
58,258.376,1.47754,0.91505,1.10867,0,0,0,0,6.19717,125.17,6.73708,0.0014357,0.0014357,0.0014357
59,262.764,1.3737,0.87114,1.07399,0.96599,0.32143,0.36065,0.1901,2.02418,2.5895,1.28518,0.0014258,0.0014258,0.0014258
60,267.09,1.42185,0.87417,1.09394,0.90361,0.66992,0.80786,0.40018,1.77552,1.20466,1.07866,0.0014159,0.0014159,0.0014159
61,271.407,1.49561,0.86259,1.05203,0.9192,0.81288,0.8535,0.34494,1.8984,1.25606,1.11356,0.001406,0.001406,0.001406
62,275.782,1.47977,0.87363,1.06555,0.76227,0.68735,0.67576,0.24189,2.02316,1.34633,1.19483,0.0013961,0.0013961,0.0013961
63,280.273,1.49203,0.86701,1.04495,0.00025,0.03571,0.00015,0.00012,4.22006,28.8607,4.69598,0.0013862,0.0013862,0.0013862
