split,mode,threshold,acc,bal_acc,auc,recall,specificity,tn,fp,fn,tp
val,balanced,0.0456334613263607,0.6016260162601627,0.6540032679738562,0.7058823529411765,0.3472222222222222,0.9607843137254902,49,2,47,25
val,defect_sensitive,0.03842219337821007,0.6910569105691057,0.6446078431372548,0.7058823529411765,0.9166666666666666,0.37254901960784315,19,32,6,66
test,balanced,0.0456334613263607,0.5901639344262295,0.6379120879120879,0.6953296703296703,0.3142857142857143,0.9615384615384616,50,2,48,22
test,defect_sensitive,0.03842219337821007,0.639344262295082,0.5991758241758242,0.6953296703296703,0.8714285714285714,0.3269230769230769,17,35,9,61
