split,mode,threshold,acc,bal_acc,auc,recall,specificity,tn,fp,fn,tp
val,balanced,0.09134919196367264,0.8112244897959183,0.7916850625459897,0.8526857983811627,0.8278145695364238,0.7555555555555555,34,11,26,125
val,defect_sensitive,0.08835622668266296,0.8571428571428571,0.8058866813833702,0.8526857983811627,0.9006622516556292,0.7111111111111111,32,13,15,136
test,balanced,0.09134919196367264,0.7839195979899497,0.8062659846547314,0.8780903665814151,0.7647058823529411,0.8478260869565217,39,7,36,117
test,defect_sensitive,0.08835622668266296,0.8090452261306532,0.7769963057686843,0.8780903665814151,0.8366013071895425,0.717391304347826,33,13,25,128
