epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.904,1.6603,3.32682,1.74593,0.52572,0.23534,0.27671,0.1141,1.94525,3.47609,2.10097,0.00032963,0.00032963,0.00032963
2,1085.59,1.60922,2.35967,1.68584,0.42619,0.38115,0.25488,0.09905,2.30742,7.00856,2.39627,0.000444185,0.000444185,0.000444185
3,1580.49,1.53481,2.07034,1.62148,0.45843,0.56906,0.48322,0.21194,1.79879,2.94203,1.90227,0.000338741,0.000338741,0.000338741
